               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.020052,            0.013786,           0.0016719,             0.99476,             0.97958,             0.99223,              0.8396,            0.015937,            0.010028,           0.0015739,            0.005248,            0.005248,            0.005248
                  50,            0.019782,            0.013393,           0.0017163,             0.99331,             0.98624,             0.99242,             0.87334,            0.015198,           0.0096822,            0.001502,            0.005149,            0.005149,            0.005149
                  51,             0.01956,            0.013483,           0.0015548,             0.99573,             0.98586,             0.99263,              0.8298,             0.01668,           0.0099049,           0.0014235,             0.00505,             0.00505,             0.00505
                  52,            0.019365,            0.013492,            0.001616,             0.99619,             0.98072,             0.99243,             0.87533,            0.012012,           0.0091228,           0.0013868,            0.004951,            0.004951,            0.004951
                  53,            0.019097,              0.0134,           0.0015683,             0.99465,             0.98687,             0.99265,             0.86914,            0.014243,           0.0093813,           0.0014284,            0.004852,            0.004852,            0.004852
                  54,            0.019385,            0.013395,           0.0016555,             0.99276,             0.98633,             0.99259,             0.84416,            0.016831,            0.010109,           0.0014317,            0.004753,            0.004753,            0.004753
                  55,            0.019113,             0.01293,           0.0016653,             0.99494,             0.98489,              0.9926,             0.86955,            0.012429,           0.0091066,           0.0013436,            0.004654,            0.004654,            0.004654
                  56,            0.018555,            0.012494,           0.0013381,             0.99691,             0.98708,             0.99267,             0.87132,            0.011789,           0.0088596,           0.0013149,            0.004555,            0.004555,            0.004555
                  57,            0.018715,            0.013038,           0.0013026,              0.9979,             0.98451,              0.9948,             0.87656,            0.012489,           0.0089979,           0.0014194,            0.004456,            0.004456,            0.004456
                  58,            0.018063,               0.013,            0.001334,             0.99798,             0.98555,             0.99472,             0.85082,            0.014743,           0.0094624,           0.0013188,            0.004357,            0.004357,            0.004357
                  59,            0.018316,            0.012561,           0.0014312,             0.99569,             0.98472,             0.99424,             0.87786,            0.012052,           0.0090938,            0.001335,            0.004258,            0.004258,            0.004258
                  60,            0.018323,            0.012877,           0.0014036,             0.99578,             0.98218,             0.99468,             0.89011,            0.011573,           0.0086856,           0.0012799,            0.004159,            0.004159,            0.004159
                  61,            0.018294,            0.012589,           0.0014218,              0.9922,             0.98483,             0.99444,             0.88389,            0.011419,           0.0087447,           0.0013702,             0.00406,             0.00406,             0.00406
                  62,            0.018101,             0.01254,           0.0013698,             0.99174,             0.98518,             0.99467,             0.89097,            0.011489,           0.0085559,            0.001315,            0.003961,            0.003961,            0.003961
                  63,            0.017593,            0.012346,           0.0012902,             0.99614,             0.98768,             0.99471,             0.88301,            0.012627,           0.0089083,           0.0012545,            0.003862,            0.003862,            0.003862
                  64,            0.017046,            0.011968,           0.0014611,             0.99678,             0.98799,             0.99466,              0.8846,            0.011838,           0.0085163,           0.0012381,            0.003763,            0.003763,            0.003763
                  65,            0.017186,            0.012598,           0.0014035,             0.99279,             0.98541,             0.99475,             0.87243,            0.012602,           0.0087113,           0.0012783,            0.003664,            0.003664,            0.003664
                  66,            0.017004,            0.012018,           0.0014163,             0.99753,             0.98133,             0.99472,             0.89468,            0.011219,            0.008357,           0.0011923,            0.003565,            0.003565,            0.003565
